1. MODALITA' RELEASE
Dimensione, InsertionSort, QuickSort
2:1.294e-08,1.029e-08
3:3.294e-08,2.907e-08
4:6.13e-08,5.253e-08
5:8.444e-08,7.252e-08
6:1.2113e-07,6.942e-08
7:1.3202e-07,7.887e-08
8:1.5306e-07,9.498e-08
9:1.7795e-07,1.139e-07
10:2.0176e-07,1.2562e-07
11:2.3285e-07,1.4376e-07
12:2.6188e-07,1.6211e-07
13:2.9338e-07,1.8026e-07
14:3.1792e-07,2.0166e-07
15:3.5068e-07,2.4479e-07
16:5.1885e-07,2.3403e-07
17:5.9041e-07,3.4627e-07
18:5.4596e-07,2.7271e-07
19:5.6965e-07,2.9505e-07
20:4.742e-07,3.1538e-07
21:1.04648e-06,8.7093e-07
22:1.0242e-06,5.4847e-07
23:8.5463e-07,5.778e-07
24:8.997e-07,7.7258e-07
25:9.5732e-07,6.5067e-07
26:1.17715e-06,9.1465e-07
27:1.03389e-06,7.3583e-07
28:1.09193e-06,7.5422e-07
29:2.19142e-06,8.004e-07
30:1.20163e-06,8.3594e-07
31:1.39426e-06,8.7154e-07
32:1.28516e-06,1.10455e-06
33:1.33952e-06,9.6325e-07
34:1.38633e-06,9.7559e-07
35:1.43844e-06,1.02737e-06
36:4.03476e-06,1.09772e-06
37:2.08569e-06,1.13601e-06
38:1.91097e-06,1.83566e-06
39:1.86046e-06,2.03146e-06
40:2.46843e-06,1.5266e-06
41:1.76531e-06,1.30572e-06
42:4.36789e-06,4.43464e-06
43:1.97581e-06,1.40403e-06
44:4.99227e-06,7.9323e-07
45:1.413e-06,1.42888e-06
46:9.0702e-07,7.7333e-07
47:1.00332e-06,2.43686e-06
48:5.9619e-06,2.56934e-06
49:6.97929e-06,1.6986e-06
50:4.62502e-06,3.40343e-06
51:2.97797e-06,2.40319e-06
52:5.03387e-06,1.79676e-06
53:3.02023e-06,2.51167e-06
54:2.64924e-06,1.89867e-06
55:4.09117e-06,2.05615e-06
56:2.62209e-06,2.04385e-06
57:2.63698e-06,2.18701e-06
58:2.88631e-06,2.182e-06
59:2.72622e-06,2.04662e-06
60:3.22643e-06,2.14448e-06
61:3.0121e-06,2.31421e-06
62:2.94362e-06,2.5134e-06
63:3.03151e-06,2.52165e-06
64:3.13633e-06,2.60947e-06
65:3.0193e-06,2.42385e-06
66:3.13998e-06,2.55671e-06
67:3.36338e-06,2.57616e-06
68:3.19439e-06,2.60821e-06
69:3.24108e-06,2.61119e-06
70:3.53548e-06,5.91042e-06
71:5.08696e-06,3.08814e-06
72:6.81643e-06,3.02793e-06
73:3.72392e-06,2.80545e-06
74:4.17581e-06,2.77444e-06
75:4.05029e-06,2.65153e-06
76:3.54925e-06,2.65871e-06
77:3.98273e-06,3.13391e-06
78:3.30049e-06,4.28582e-06
79:5.42435e-06,6.64591e-06
80:5.43299e-06,2.67621e-06
81:3.36847e-06,3.46844e-06
82:2.75288e-06,1.80772e-06
83:2.24536e-06,1.75546e-06
84:2.41982e-06,1.89767e-06
85:2.42808e-06,1.8826e-06
86:2.36388e-06,1.87342e-06
87:2.29798e-06,1.87628e-06
88:2.9993e-06,2.52869e-06
89:2.84328e-06,2.08696e-06
90:2.63341e-06,2.10063e-06
91:2.71723e-06,2.52272e-06
92:2.98961e-06,2.31253e-06
93:2.98014e-06,2.34832e-06
94:2.79313e-06,2.29219e-06
95:2.8418e-06,2.39588e-06
96:2.7823e-06,2.30133e-06
97:2.78407e-06,2.17873e-06
98:2.86748e-06,2.1958e-06
99:2.68209e-06,2.17124e-06
100:2.56827e-06,2.11291e-06

2. MODALITA' DEBUG
Dimensione, InsertionSort, QuickSort
2:6.433e-08,3.879e-08
3:1.1123e-07,6.554e-08
4:1.7342e-07,1.1913e-07
5:2.7115e-07,1.5814e-07
6:3.5922e-07,2.2237e-07
7:4.8149e-07,2.9566e-07
8:5.9908e-07,3.3942e-07
9:6.8681e-07,4.1604e-07
10:7.9615e-07,5.2949e-07
11:9.5144e-07,5.9316e-07
12:1.24325e-06,5.9771e-07
13:1.33611e-06,6.9584e-07
14:1.25723e-06,7.7083e-07
15:1.4433e-06,9.1075e-07
16:1.55311e-06,1.00562e-06
17:1.6611e-06,1.03189e-06
18:1.75224e-06,1.19401e-06
19:1.87625e-06,1.2523e-06
20:2.35251e-06,1.34678e-06
21:2.12319e-06,1.65315e-06
22:2.55361e-06,3.72728e-06
23:5.41543e-06,3.99132e-06
